النيل الباجور
السلام الخور
الدلتا الباجور
د أشرف حيدر الباجور
الصفا أشمون
العربي شعشاع
الفيروز شنوان
دنيا الباجور
الرحمة دروة
الشفا أشمون
الروضة الباجور
الأقصى دروة
معمل شنوان
النخبة جروان
بيتا لاب دروة
الجودة الماي
الصفا جروان
العربي أشمون
مكة دروة
المستقبل الماي
الخبرة الباجور
المختار الأهالي
الهلال الماي
القمة الباجور
مصر المنوفية
الأمين الماي
ابن سينا الغنامية
الهلال أشمون
الفؤاد سهواج
الأطباء الماي
البسمة تلوانة
جاما أشمون
الشفا بخاتي
القمة تلوانة
النور كفر قورص
الرواد بخاتي
التميز سبك الضحاك
النور النعناعية
الصاوي بخاتي
سما لاب سبك الضحاك
العربي سنتريس
الصفا والمروة سهواج
الحياة طنبدي
سيتي لاب مناوهلة
الأميري طليا
الحكمة طنبدي
آدم كفر مناوهلة
المنار شطانوف
السلام الفرعونية
المعمل البتانون
بيتا الباجور
الدلتا صراوة
عناية مليج
سيجما الباجور
الدلتا أشمون
ابن سينا أشمون
الحرية مليج
طيبة الباجور
سمارت لاب صراوة
الجامعة أشمون
سمارت مليج
الأمل الباجور
النور سهواج
وقاية مليج
صحة سبك الضحاك
النور بوهه
الرحمة مليج
اطمن الباجور
الوادي سنتريس
الأمل مليج
الزهراء ميت الوسطى
المنار سنتريس
الدقة ميت خاقان
جاما لاب أبشيش
الإسراء الرملة
العاصمة ميت خلف
الريان ميت البيضاء
الصفا شطانوف
المجهر البيشة
الدكتور المصلحة
الفتح أبو سنيطة
الشروق شطانوف
مارو ميت أبو شيخة
كيور لاب مناوهلة
أمان بوهه
النصر ميت أبو شيخة
الإسراء بهناي
الأمل شما
د نفين جلال
النهار منشية أم اخنان
الشروق هيت
الرياض صراوة
دار الطب العجايزة
المغربي شنوان
ريال أشمون
الحياة جريس
بيتا طه شبرا
الرحمة شبين الكوم
الأطباء شنوان
ابن سينا الباجور
الثقة أبو عوالي
الدلتا شعشاع
القصر شبين الكوم
الشروق شنوان
العربي الكوادي
القمة مونسة
الصفا والمروة جريس
أبشر شبين الكوم
بيتا قورص
الإيمان الكوادي
تبارك شبين الكوم
النور كوم الضبع
أسما شطانوف
الريان شبين الكوم
زين كوم الضبع
محمد نبيل أبو إسماعيل
الجامعة أبو رقبة
صحتي شطانوف
ابن سينا شبين الكوم
المنار كفر مناوهلة
أوميجا أبو رقبة
الصحة البرانية
الأسرة شبين الكوم
النيل مناوهلة
العربي البرانية
النخبة شبين الكوم
الهلال سبك الضحاك
محمود جلال بدر
مستشفى الرحمة البرانية
نيو سيتي شبين الكوم
الشافعي سبك الضحاك
المستقبل طليا
المعمل الأخضر شبين الكوم
جاما لاب ميت الوسطى
النور طليا
الشرق شبين الكوم
الأمل ميت الوسطى
سيليرا
منير لاب الباجور
بيتا النعناعية
المنارة شبين الكوم
محمد الطوخي الباجور
النور قورص
القاهرة شبين الكوم
أمان الباجور
ابن سينا الساقية
CBC شبين الكوم
الرحمة الباجور
الحكيم الساقية
فحوصات شبين الكوم
علي فايق حسونة
الإيمان أبو عوالي
دلتا شبين الكوم
مكة أشمون
د أيمن الكيلاني شبين الكوم
د حسين عمر شبين الكوم
أحمد بيومي منير
دكتور شبين الكوم
اطمن شما
د مصطفى الشقنقري شبين الكوم
العربي شما
عز شبين الكوم
سامح متولي
د محمد سعيد أشمون
النور أشمون
النور سبك الأحد
الميدان أشمون
هارمل سبك الأحد
الأمل أشمون
د شيماء صابر أشمون
مكة منشية جريس
الحياة سمادون
الإيمان شما
المنار شنشور
الرحمة أشمون
مكة سمادون
بيو لاب الفرعونية
الأندلس طليا
محمد سلامة تركي
